title,album,singer,id,date,populairty,duration,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,mood
LA CANCIÓN,,,0fea68AdmYNygeTGI4RC18,,1,242573,0.754,0.646,7,-5.795,1,0.317,0.152,1.85e-05,0.108,0.429,176.089,4,sad
Todo me sabe a poco,,,7Kzn9GAvx70B8AupNR3JTz,,1,172635,0.779,0.554,5,-6.141,1,0.0479,0.348,0.114,0.0965,0.397,110.037,4,sad
Demasiado Loco,,,1algWk375QvT1XNJJbRsGM,,1,166549,0.824,0.377,1,-8.859,0,0.452,0.327,0,0.121,0.403,85.014,4,sad
Amorfoda,,,68QcquxCS39cQGTsRrJWIR,,1,153887,0.749,0.418,9,-7.925,0,0.0587,0.985,0.000126,0.0832,0.307,147.887,3,sad
Duelo dulce,,,1Q0cDcv8t5JtYNQXo7uLYH,,1,129892,0.783,0.417,5,-8.427,1,0.162,0.904,0,0.126,0.198,119.899,4,sad
El Farsante,,,5EId1m4DNwTf3at31w8bPJ,,1,233827,0.735,0.703,6,-4.249,1,0.0611,0.2,0,0.259,0.323,120.007,4,sad
Salir,,,4BPPnB4QD4eXI251VjifTL,,1,178492,0.804,0.615,8,-5.257,1,0.0418,0.174,7.89e-05,0.128,0.776,134.007,4,sad
Sin Ti,,,3osNsDFkJoDg5pQ4OtndfE,,1,220149,0.801,0.319,7,-7.869,1,0.48,0.308,0.000243,0.0999,0.144,169.99,4,sad
Cuando ya no me quieras,,,40ooZvE9wvUQ8oNfSzs73N,,1,188000,0.537,0.249,8,-15.097,1,0.0303,0.688,0.0139,0.135,0.275,93.015,4,sad
Dolerme,,,2reL9PAUza4PUtbjqW1fRf,,1,143976,0.545,0.478,8,-7.035,0,0.0559,0.785,0.00278,0.123,0.318,173.746,4,sad
Dime Cuantas Veces,,,4t8YQE2FIpTIq9SxeuOuuP,,1,213960,0.753,0.572,5,-6.062,0,0.371,0.335,2.02e-05,0.0858,0.752,200.007,4,sad
Bien:( (feat. Rusowsky),,,68jEeogcZVUYocQdPcFQlM,,1,112440,0.612,0.198,10,-12.909,1,0.0363,0.686,0.000526,0.125,0.175,72.948,4,sad
Otra Noche en Miami,,,4vCAzANUWDE24URV6wQ4ra,,1,233128,0.514,0.646,1,-8.833,1,0.275,0.197,2.3e-05,0.0958,0.297,88.661,4,sad
Me Enseñaste (Remix),,,2jQmMjSbzPPNpuJjQIw1m2,,1,240362,0.666,0.535,3,-5.857,1,0.262,0.436,0,0.115,0.432,151.921,4,sad
La Vida,,,7uOCu5eahcVWVAuObNzwZC,,1,220457,0.428,0.315,5,-11.42,1,0.0812,0.931,0,0.112,0.352,84.182,4,sad
Quédate - Acústico / Bonus Track,,,1E7KyJ8EYd92qZ4EQPWrWJ,,1,203333,0.723,0.322,1,-7.957,1,0.0356,0.929,0.0048,0.222,0.397,109.999,4,sad
Qué Más Da,,,7ifjN5DxB3r1hKnqjRDO1a,,1,210579,0.893,0.224,0,-14.37,1,0.0569,0.609,0.0981,0.247,0.299,117.983,4,sad
Triste,,,7narbj6zkSW1SnMhAPep0u,,1,264906,0.692,0.719,9,-5.373,1,0.124,0.408,0,0.0986,0.266,130.053,4,sad
Serenata,,,5PNHCkbPiOU6OkBTtTgROz,,1,207249,0.774,0.324,9,-11.005,1,0.0455,0.799,0.0165,0.155,0.218,124.049,4,sad
T la Sudo (Demo),,,1Vyf9dBD7DzVWobiEbHoKx,,1,185411,0.813,0.335,6,-11.079,1,0.415,0.54,0.000258,0.152,0.363,157.925,4,sad
Fingías,,,7o0oY5wRcoV7oPuDhD2J1z,,1,225373,0.729,0.805,6,-3.83,1,0.184,0.19,0.225,0.0909,0.345,191.994,4,sad
Todo se va,,,1VUJG5EPMi9owSvHreSCJF,,1,120125,0.796,0.615,8,-10.49,1,0.436,0.857,0.0018,0.58,0.527,106.978,4,sad
Malibú,,,4GR2VDGNBpGyE4wZy0VTSj,,1,220400,0.775,0.345,8,-9.578,1,0.0605,0.0399,0,0.158,0.516,139.943,4,sad
BYE ME FUI,,,0FktnzDqjClqU6iqOZVEs2,,1,178000,0.712,0.599,5,-6.342,0,0.112,0.412,2.15e-05,0.103,0.588,179.788,4,sad
S.A.D,,,0ZGNuav3HfUf1iOLoF3CaO,,1,128375,0.862,0.306,8,-13.58,1,0.0499,0.76,0,0.0946,0.772,120.005,4,sad
Llori Pari,,,0D3hXbWvf69dmMmYUZpOk7,,1,215440,0.602,0.572,5,-7.361,1,0.0518,0.285,0,0.0855,0.313,174.043,4,sad
Y Duele,,,4iKOF4Mm14Wsk3H21keRsO,,1,178178,0.592,0.463,3,-8.148,1,0.117,0.601,1.55e-06,0.167,0.369,173.901,4,sad
Bolsas - C. Tangana,,,28rRswMxvXAoN5ZPXHYFbk,,1,236605,0.398,0.235,4,-18.166,0,0.0319,0.582,0.921,0.11,0.22,140.045,3,sad
Mi Cabeza,,,6eNaF2R952oqEi7BEf9ySF,,1,162000,0.735,0.328,1,-11.972,0,0.0556,0.888,0.00196,0.149,0.365,119.993,4,sad
Perdóname,,,6jwcchNlcoMZFa0EwfKga6,,1,163466,0.697,0.413,10,-8.87,0,0.0395,0.0345,2.43e-05,0.106,0.123,130.121,4,sad
Dolores,,,1S9p6tw40qw45jm7IyZtp1,,1,210428,0.836,0.415,7,-6.559,1,0.424,0.0575,0.000523,0.123,0.131,169.999,4,sad
i love you,,,6CcJMwBtXByIz4zQLzFkKc,,1,291796,0.421,0.131,0,-18.435,1,0.0382,0.952,0.00453,0.109,0.12,137.446,4,sad
The Good Side,,,4qAHuJq5T4Q97EQZG47H0P,,1,268597,0.426,0.284,2,-15.492,1,0.0616,0.406,0.00335,0.362,0.311,112.039,4,sad
What A Time (feat. Niall Horan),,,5WtfUKzXircvW8l5aaVZWT,,1,173307,0.516,0.467,0,-6.184,1,0.0302,0.662,0,0.0853,0.386,132.861,4,sad
The Way It Was,,,0x4rW5jv6fkKweBgjE5O8F,,1,231160,0.661,0.801,1,-4.998,0,0.0246,0.0104,1.77e-05,0.0738,0.517,105.994,4,sad
Landslide,,,5ihS6UUlyQAfmp48eSkxuQ,,1,199493,0.414,0.161,7,-22.32,0,0.0318,0.883,0.000223,0.117,0.423,159.375,4,sad
Like Everybody Else - Acoustic,,,4cRVPfsnX1r3S3GzXRy2wt,,1,194867,0.487,0.146,10,-15.225,0,0.038,0.897,1.9e-06,0.106,0.261,96.065,4,sad
Don't Watch Me Cry,,,202lm9YX5WmAac83tOGlVn,,1,190430,0.559,0.157,1,-10.132,1,0.0414,0.887,0,0.107,0.348,130.877,4,sad
Happier Than Ever,,,4RVwu0g32PAqgUiJoXsdF8,,1,298899,0.332,0.225,0,-8.697,1,0.0348,0.767,0.00349,0.128,0.297,81.055,3,sad
Out Of Love with You,,,5aIVyQHf9TSkNEZgJl2CeE,,1,220286,0.643,0.219,8,-9.932,1,0.0379,0.935,2.07e-05,0.0899,0.266,140.071,3,sad
She Used To Be Mine,,,2D4BSm5Z8Hq5zYbSgJwEOh,,1,250267,0.397,0.303,5,-7.508,1,0.0435,0.381,0,0.101,0.172,81.05,4,sad
Remember That Night?,,,1nYzjrdVQ8RpF93M0jPFW7,,1,227186,0.679,0.61,7,-10.936,0,0.0305,0.585,9.51e-05,0.156,0.554,123.978,4,sad
Love Like This - Acoustic,,,5Wjf9NsW6QCmBiDIdVvMbP,,1,241640,0.398,0.151,4,-14.402,1,0.0342,0.961,0.0443,0.0923,0.0749,107.068,4,sad
July,,,6J2LdBN97cDWn0MLxYh9HB,,1,156106,0.708,0.186,9,-8.953,0,0.042,0.868,0,0.0779,0.322,72.541,4,sad
Never the 1,,,6xyOZrXp6UGOFa30jewqIV,,1,171960,0.483,0.27,1,-11.902,1,0.266,0.906,0,0.12,0.33,78.49,4,sad
Instead,,,2kuFVY6hWX6yavTiWHE3SQ,,1,355529,0.365,0.26,1,-9.514,1,0.0531,0.804,0,0.101,0.234,161.637,3,sad
People Watching,,,4JeOesjcWWlprTAvucDSJX,,1,158537,0.53,0.593,5,-7.286,1,0.0545,0.385,0,0.314,0.538,125.723,4,sad
Falling,,,1ZMiCix7XSAbfAJlEZWMCp,,1,240133,0.567,0.267,4,-6.502,1,0.0299,0.839,1.46e-06,0.089,0.0592,110.011,4,sad
I GUESS I'M IN LOVE,,,1is8gU4RVcN4J8xItxWoOY,,1,204094,0.422,0.34,0,-6.577,1,0.0351,0.877,1.77e-05,0.149,0.223,77.213,4,sad
you broke me first,,,45bE4HXI0AwGZXfZtMp8JR,,1,169266,0.667,0.373,4,-9.389,1,0.05,0.785,0,0.0906,0.0823,124.148,4,sad
Train Wreck,,,55Am8neGJkdj2ADaM3aw5H,,1,208827,0.311,0.485,6,-5.726,0,0.0365,0.701,0,0.0726,0.225,77.355,4,sad
Heather,,,4xqrdfXkTW4T0RauPLv3WA,,1,198040,0.357,0.425,5,-7.301,1,0.0333,0.584,0,0.322,0.27,102.078,3,sad
you were good to me,,,4CxFN5zON70B3VOPBYbd6P,,1,219147,0.561,0.0848,2,-15.099,1,0.0404,0.913,2.62e-05,0.112,0.206,102.128,4,sad
when was it over? (feat. Sam Hunt),,,779UN3kabApm2zfqX549vf,,1,218093,0.626,0.453,7,-9.295,1,0.0306,0.816,1.91e-06,0.0904,0.494,129.958,4,sad
drivers license,,,5wANPM4fQCJwkGd4rN57mH,,1,242013,0.561,0.431,10,-8.81,1,0.0578,0.768,1.42e-05,0.106,0.137,143.875,4,sad
Fix It to Break It,,,1uviKYHZuM4uINK33F7sCt,,1,198799,0.493,0.461,2,-8.524,1,0.0456,0.845,0,0.115,0.35,51.414,4,sad
Walked Through Hell,,,6c7N5N7amAOpeMykjlovjI,,1,216865,0.508,0.404,10,-11.092,1,0.0788,0.664,0,0.104,0.129,81.713,4,sad
wish i loved you in the 90s,,,2wkIdVB8HsWyMur3Q4shlZ,,1,176853,0.435,0.481,1,-8.787,1,0.0327,0.871,0,0.136,0.38,77.398,4,sad
Cry Over Boys,,,1d9Ve8caYURgqYEVuEHMww,,1,170812,0.855,0.254,7,-13.551,1,0.0664,0.837,2.44e-05,0.527,0.378,118.006,4,sad
One More I Love You,,,3v9IFz7EikDfXXfvPVfH6B,,1,216935,0.631,0.381,8,-8.232,1,0.0386,0.768,0.00218,0.261,0.546,92.951,4,sad
Love You From a Distance,,,7y8Qy4I0VWGMEbZvZ0C9x7,,1,204000,0.333,0.538,4,-8.653,1,0.0325,0.557,0,0.0977,0.63,149.377,4,sad
Astronomy,,,0KmgJyW4GDgonqsoyx0CZ3,,1,243907,0.471,0.335,4,-8.767,0,0.0273,0.593,2.11e-05,0.297,0.111,145.252,3,sad
Unlearn (with Gracie Abrams),,,6GH4tLwGW6HliKbZBdt6hD,,1,155361,0.429,0.214,1,-12.261,1,0.242,0.897,0,0.105,0.189,77.849,4,sad
Changes,,,7KhzNtBj6hmB08fyJCIRb3,,1,214815,0.624,0.115,6,-17.139,1,0.0446,0.941,3.47e-05,0.11,0.287,120.198,4,sad
I Quit Drinking,,,6OcCk1dbAb7XNHsC098oEM,,1,171200,0.607,0.418,1,-6.997,1,0.0363,0.394,0,0.182,0.386,95.002,4,sad
Dumb Love,,,2Ms8MDDtYBw7M3K5F3EqPX,,1,207068,0.569,0.422,0,-5.856,1,0.0302,0.0296,0,0.0613,0.175,76.96,4,sad
"always, i'll care",,,0rbKrBvZUYY9GN9l057BuY,,1,146160,0.732,0.221,6,-12.623,1,0.056,0.897,2.62e-05,0.11,0.677,105.165,4,sad
Young & Sad,,,0gySkOOewOdZtHG8stPEB8,,1,190183,0.618,0.428,7,-8.5,0,0.038,0.592,0,0.192,0.359,142.021,4,sad
Closure,,,3pt2acuxLXvIGproniPoq9,,1,196277,0.692,0.107,2,-16.182,1,0.0463,0.967,0,0.302,0.377,123.999,4,sad
all i need (the distance song),,,53KwVDCwML3G2cZ3v4KBvO,,1,244390,0.651,0.119,8,-16.58,1,0.04,0.976,0,0.163,0.376,97.061,4,sad
Talking to the Moon,,,161DnLWsx1i3u1JT05lzqU,,1,217867,0.523,0.606,1,-4.754,0,0.0301,0.512,0,0.106,0.065,145.837,4,sad
Heartbreak Anniversary,,,3FAJ6O0NOHQV8Mc5Ri6ENp,,1,198371,0.449,0.465,0,-8.964,1,0.0791,0.524,1.02e-06,0.303,0.543,89.087,3,sad
Crying Over You,,,53bCcVMGv0S2aIYvfju2Tt,,1,178950,0.463,0.411,11,-8.25,1,0.0414,0.679,0,0.0453,0.163,147.3,4,sad
Trying My Best,,,6hjh2phISvfR1Ib6S0FK7b,,1,222468,0.691,0.0682,5,-18.186,1,0.0645,0.951,0,0.0916,0.352,76.94,4,sad
"I miss you, I’m sorry",,,4nyF5lmSziBAt7ESAUjpbx,,1,167538,0.445,0.455,7,-6.405,1,0.0575,0.731,1.47e-06,0.124,0.151,109.885,5,sad
A Little Bit Yours,,,00cBcYOlnHoXX9ver3cmdE,,1,225680,0.598,0.295,1,-8.553,1,0.0276,0.735,0,0.107,0.314,87.025,4,sad
The Way You Felt,,,6XdHZr9iXdqc4Q76wtgbqr,,1,182810,0.872,0.52,0,-6.928,1,0.0618,0.715,0,0.0982,0.736,131.918,4,sad
Lonely (with benny blanco),,,7HWetAoWK9qkFM575HONAY,,1,149297,0.631,0.226,11,-7.257,0,0.0396,0.879,0,0.115,0.0765,79.968,4,sad
House With No Mirrors,,,3iPJ039BamX9MIVZQWEnnL,,1,227613,0.72,0.408,2,-11.725,1,0.0498,0.832,2.61e-06,0.0992,0.341,121.972,4,sad
Broken,,,3JE04xcSOB8zuUzzazuaDj,,1,195402,0.495,0.351,1,-11.966,1,0.0626,0.53,0,0.104,0.237,83.365,4,sad
Crazier Things,,,2ptqYXyQ1QdArGjbrTzBaU,,1,304560,0.606,0.237,2,-13.084,1,0.029,0.731,3.35e-06,0.127,0.254,93.105,4,sad
Goodnight,,,69jstgacdd40OwG9cLl45r,,1,176747,0.484,0.346,2,-10.441,1,0.0371,0.603,0.000181,0.204,0.0974,79.972,3,sad
Gone,,,6sHxpnCerm9M6A5zaFFNfs,,1,205462,0.317,0.545,11,-6.439,0,0.0469,0.039,0,0.116,0.14,139.014,5,sad
Malibu Nights,,,0Eqg0CQ7bK3RQIMPw1A7pl,,1,286928,0.559,0.422,11,-11.89,1,0.195,0.701,1.99e-06,0.0853,0.191,74.002,4,sad
Grey,,,2J4DpqJCIuuM9WjtWHbjvd,,1,277694,0.298,0.295,2,-8.789,1,0.0318,0.869,0,0.111,0.199,171.361,4,sad
could cry just thinkin about you,,,3H7oAhHxkEkSf9iomv2mbG,,1,158001,0.515,0.323,6,-11.05,1,0.0429,0.318,0,0.106,0.188,147.972,4,sad
Cry with you,,,0hqJxaNkPQ3sPm1tvfPlAe,,1,217044,0.51,0.307,2,-9.921,1,0.101,0.321,1.5e-06,0.174,0.356,159.794,3,sad
Break My Heart Again,,,2is19a6HY7ZdWP654IMhEE,,1,238013,0.402,0.151,4,-14.227,0,0.0395,0.907,0,0.0941,0.483,144.293,4,sad
Crocodiles,,,03pMITmL4qouGlrfTAhX9W,,1,240065,0.543,0.44,7,-10.974,0,0.0379,0.658,0,0.113,0.348,139.58,4,sad
Hold Me While You Wait,,,6700Z4Izi8EbB6JNthU6Ma,,1,205687,0.688,0.53,11,-5.507,1,0.0333,0.443,0,0.0995,0.162,106.958,4,sad
"It's Raining, It's Pouring",,,0dhw2WjJZBsbBDv0Ipdgbw,,1,183090,0.598,0.444,2,-8.683,0,0.0327,0.68,1.94e-05,0.142,0.286,113.919,4,sad
Unstable (feat. The Kid LAROI),,,137mSruegm1u6x9NvwiagR,,1,158324,0.495,0.333,4,-10.109,0,0.0288,0.737,0,0.112,0.37,99.757,4,sad
my tears ricochet,,,5P2bHCDM2tsgIaYWsZMhu5,,1,255893,0.456,0.265,0,-10.663,1,0.0328,0.814,0,0.0679,0.112,129.947,4,sad
Be My Mistake,,,18UsAG7SfOQ5sxJEdjAMH0,,1,256689,0.572,0.155,6,-14.405,1,0.0344,0.835,0.000137,0.0906,0.0949,109.923,3,sad
i can't breathe,,,1qFMIjTe9esCDiytqUY19t,,1,213987,0.347,0.209,11,-11.152,1,0.0273,0.893,0.00287,0.138,0.0735,82.878,4,sad
Love Is Gone - Acoustic,,,7F1CiKqrY44kh5cDqwHOnx,,1,176972,0.541,0.153,6,-10.654,1,0.0303,0.882,1.66e-06,0.16,0.359,139.644,4,sad
I Lost a Friend,,,49MMefftWPcltNP4OOJGSs,,1,237020,0.453,0.209,11,-11.917,1,0.223,0.587,0,0.119,0.216,169.316,4,sad
Drop Dead,,,3i4CFXy3ezQZEt8V0GA7Uh,,1,177162,0.577,0.393,0,-7.322,1,0.038,0.586,0.000181,0.0927,0.132,89.858,4,sad
My Person,,,0a3oURCG3s5cpAPNcdDm6e,,1,186879,0.504,0.596,2,-7.753,1,0.384,0.599,0,0.376,0.215,143.818,4,sad
The Worst Of You,,,06rX4GEEjsVTSbRBWycs2U,,1,209813,0.555,0.35,10,-10.955,0,0.0503,0.791,6.64e-06,0.11,0.404,77.772,4,sad
Lose You To Love Me,,,4l0Mvzj72xxOpRrp6h8nHi,,1,206459,0.488,0.343,4,-8.985,1,0.0436,0.556,0,0.21,0.0978,102.819,4,sad
evermore (feat. Bon Iver),,,3O5osWf1rSoKMwe6E9ZaXP,,1,304107,0.39,0.27,1,-10.673,1,0.0308,0.937,0.00227,0.111,0.32,125.177,5,sad
Older,,,3kywzyEr7V106Un5cDyh12,,1,184893,0.628,0.298,11,-9.539,1,0.0713,0.732,0,0.116,0.166,63.762,4,sad
Place In Me,,,5uRv6CmkhdNoirnHEhqLPU,,1,187443,0.274,0.345,8,-6.715,1,0.0309,0.865,2.36e-06,0.12,0.218,68.639,4,sad
i looked into your eyes,,,0CwLue2qwkPcQpovNGNtVx,,1,148556,0.475,0.0989,10,-9.55,1,0.0474,0.853,0,0.271,0.3,133.713,4,sad
listen before i go,,,0tMSssfxAL2oV8Vri0mFHE,,1,242652,0.319,0.0561,0,-23.023,1,0.045,0.935,0.00384,0.388,0.082,79.764,3,sad
right where you left me - bonus track,,,3zwMVvkBe2qIKDObWgXw4N,,1,245027,0.581,0.619,10,-6.524,1,0.0282,0.769,0.000106,0.117,0.645,137.915,4,sad
Pain,,,1vwTCUJxmGlTuClU5YLfJA,,1,219360,0.469,0.11,0,-14.773,1,0.0423,0.602,0,0.102,0.103,119.745,4,sad
i'm lonely,,,65tCdopbRv73fYFOL40ViN,,1,181373,0.504,0.214,5,-10.747,1,0.0368,0.841,0,0.113,0.25,108.677,4,sad
Arcade,,,1J14CdDAvBTE1AJYUOwl6C,,1,185147,0.453,0.35,9,-11.639,0,0.0425,0.827,0.00122,0.144,0.279,72.017,3,sad
Renegade (feat. Taylor Swift),,,1aU1wpYBSpP0M6IiihY5Ue,,1,254467,0.532,0.708,0,-8.121,1,0.0505,0.435,0.0236,0.107,0.586,167.977,4,sad
Male Fantasy,,,4ak9GGe6afmi2HbxEjvhIC,,1,194887,0.687,0.288,2,-10.415,1,0.045,0.863,0,0.0986,0.308,110.927,4,sad
better off,,,7bdYxWPCs46dQ0XLwySOyv,,1,193947,0.708,0.322,8,-12.46,0,0.0371,0.747,9.24e-05,0.137,0.46,98.892,4,sad
The Trauma and The Pleasure,,,4UOTmg9TBVTUibdKnPYzKt,,1,193284,0.604,0.601,0,-6.213,1,0.046,0.335,0,0.105,0.572,141.011,4,sad
Not Usually Like This,,,6jFzlVYVaGUUBbkZtMPxWh,,1,199851,0.705,0.476,11,-9.039,1,0.0894,0.684,0,0.16,0.757,134.947,5,sad
A Concert Six Months From Now,,,1FaXNkTPTe6k8mCCi6OVbh,,1,205287,0.53,0.232,7,-10.272,1,0.0584,0.712,0,0.132,0.268,138.908,3,sad
happiness,,,73YUReisjb3A9ActdLLjJQ,,1,315147,0.559,0.334,11,-10.733,1,0.0376,0.87,0,0.114,0.211,122.079,4,sad
Broken,,,2AHKsVXN6BjBO8SEVX6cBC,,1,305676,0.481,0.0759,6,-14.2,1,0.0601,0.956,0,0.154,0.234,98.979,4,sad
Stay,,,0Uon5NsSAkBDx69XYOaQ5P,,1,177153,0.618,0.37,10,-10.5,1,0.0543,0.883,0,0.123,0.433,114.26,4,sad
Strange,,,7sq2z9oX2S0CvgTqCZ0ko4,,1,255987,0.286,0.0847,2,-9.883,1,0.0397,0.934,6.94e-06,0.121,0.112,70.743,4,sad
tear myself apart,,,4AuYFl8wn6502LiHDTr0C9,,1,165240,0.488,0.498,9,-6.895,0,0.0274,0.212,0,0.117,0.324,85.985,4,sad
hurt so bad,,,4DLgDYAX6lsGXlrUmKJex8,,1,242489,0.461,0.452,2,-6.529,1,0.0366,0.337,0,0.269,0.282,168.074,3,sad
Liability,,,6Kkt27YmFyIFrcX3QXFi2o,,1,171728,0.587,0.229,10,-11.254,0,0.128,0.92,0,0.1,0.379,75.67,4,sad
Is It Just Me? (feat. JP Cooper),,,1vSzDndzFVbHWl77uKOhhy,,1,203300,0.478,0.339,4,-7.355,1,0.0544,0.688,0,0.104,0.288,145.441,4,sad
Walking Away,,,3VVLOvm3AV7quKn7gN9szx,,1,176372,0.551,0.381,2,-8.919,1,0.203,0.748,0,0.135,0.271,97.216,4,sad
Same Room,,,48yUhAZGJb5WGSclZK1RAF,,1,233466,0.455,0.386,7,-10.883,1,0.0675,0.623,0,0.102,0.418,134.093,4,sad
Two Week Notice,,,4Dv0LIwnRPMPCgKJEwEG3c,,1,238000,0.456,0.311,4,-11.95,1,0.09,0.925,6.68e-05,0.111,0.462,185.544,4,sad
Grew Apart,,,73aofsDvxQznhWLfgQ5gBz,,1,169976,0.624,0.64,7,-7.735,1,0.0806,0.0529,2.8e-05,0.119,0.592,88.942,4,sad
It's You,,,5DqdesEfbRyOlSS3Tf6c29,,1,212607,0.732,0.463,11,-6.972,0,0.0287,0.374,0,0.194,0.397,95.971,4,sad
when the party's over,,,43zdsphuZLzwA9k4DJhU0I,,1,196077,0.367,0.111,4,-14.084,1,0.0972,0.978,3.97e-05,0.0897,0.198,82.642,4,sad
Wish It Would Rain - Piano Version,,,1N0VH1ox2VN1u19j0HkIVP,,1,226812,0.461,0.292,4,-9.718,1,0.0325,0.927,0,0.129,0.409,110.144,4,sad
Before You Go,,,2gMXnyrvIjhVBUZwvLZDMP,,1,215107,0.459,0.575,3,-4.858,1,0.0573,0.604,0,0.0885,0.183,111.881,4,sad
all the kids are depressed,,,75ls0gurX68lUmMjE7QcsE,,1,169973,0.773,0.437,9,-8.281,1,0.0963,0.836,2.42e-05,0.544,0.707,103.861,4,sad
